P(boon,|"'a) = 100%	
P(this|doubt) = 5%	
P(of|doubt) = 5%	
P(is|doubt) = 5%	
P(whether|doubt) = 14%	
P(settle|doubt) = 5%	
P(greatest|doubt) = 5%	
P(they|doubt) = 5%	
P(not|doubt) = 5%	
P(the|doubt) = 9%	
P(its|doubt) = 5%	
P(among|doubt,) = 17%	
P(especial|doubt,) = 17%	
P(some|doubt,) = 17%	
P(arose|doubt,) = 17%	
P(the|doubt,) = 17%	
P(with|doubt,) = 17%	
P(they|doubt.) = 100%	
P(resistance|doubt;) = 50%	
P(that|doubt;) = 50%	
P(when|doubted.) = 100%	
P(evidence|doubtful) = 100%	
P(and,|doubtful,) = 100%	
P(unable|doubtful.) = 100%	
P(and|doubtful;) = 100%	
P(also|doubtless) = 20%	
P(with|doubtless) = 20%	
P(afterward|doubtless) = 20%	
P(they|doubtless) = 20%	
P(many|doubtless) = 20%	
P(as|doubts) = 50%	
P(at|doubts) = 50%	
P(in|dousterswivel) = 100%	
P(with|dove) = 100%	
P(and|dover) = 20%	
P(straits,|dover) = 20%	
P(castle|dover) = 20%	
P(was|dover) = 20%	
P(could|dover) = 20%	
P(most|doves;) = 100%	
P(and|down) = 4%	
P(all|down) = 1%	
P(over|down) = 1%	
P(others;|down) = 1%	
P(as|down) = 1%	
P(are|down) = 1%	
P(before|down) = 4%	
P(there,|down) = 1%	
P(from|down) = 4%	
P(her|down) = 1%	
P(some,|down) = 1%	
P(their|down) = 4%	
P(under|down) = 1%	
P(into|down) = 3%	
P(to|down) = 15%	
P(very|down) = 1%	
P(upon|down) = 6%	
P(channel,|down) = 1%	
P(wessex,|down) = 1%	
P(news|down) = 1%	
P(by|down) = 7%	
P(those|down) = 1%	
P(a|down) = 1%	
P(on|down) = 1%	
P(this|down) = 1%	
P(until|down) = 1%	
P(thames|down) = 1%	
P(the|down) = 22%	
P(at|down) = 1%	
P(and|down,) = 33%	
P(living|down,) = 17%	
P(the|down,) = 17%	
P(this|down,) = 17%	
P(they|down,) = 17%	
P(says|down,") = 100%	
P(of|downfall) = 100%	
P(exile,|downfall,) = 100%	
P(france|downfall.) = 100%	
P(any|download) = 50%	
P(by|download) = 50%	
P(copying,|downloading,) = 100%	
P(or|dozen) = 100%	
P(giles|dr.) = 33%	
P(gregory|dr.) = 33%	
P(s.|dr.) = 33%	
P(of|draft) = 100%	
P(us|drag) = 100%	
P(the|dragged) = 25%	
P(away|dragged) = 25%	
P(by|dragged) = 25%	
P(before|dragged) = 25%	
P(on|dragging) = 100%	
P(huge|draining) = 100%	
P(and|drake) = 100%	
P(of|drama) = 50%	
P(present|drama) = 50%	
P(the|drama,) = 100%	
P(there|drangar.) = 100%	
P(among|drank) = 25%	
P(their|drank) = 25%	
P(together|drank) = 25%	
P(enough,|drank) = 25%	
P(in|draped) = 100%	
P(reform--and|drastic) = 100%	
P(there|draugar.) = 100%	
P(a|draw) = 14%	
P(his|draw) = 14%	
P(back|draw) = 14%	
P(up|draw) = 14%	
P(the|draw) = 14%	
P(out,|draw) = 14%	
P(off,|draw) = 14%	
P(nigh|draweth) = 100%	
P(on|drawing) = 13%	
P(his|drawing) = 13%	
P(almost|drawing) = 13%	
P(men,|drawing) = 13%	
P(back|drawing) = 13%	
P(down|drawing) = 13%	
P(to|drawing) = 13%	
P(together,|drawing) = 13%	
P(swords;|drawn) = 10%	
P(up,|drawn) = 10%	
P(up|drawn) = 30%	
P(to|drawn) = 10%	
P(in|drawn) = 30%	
P(by|drawn) = 10%	
P(a|draws) = 67%	
P(an|draws) = 33%	
P(from|dread) = 50%	
P(at|dread) = 50%	
P(a|dreaded) = 50%	
P(to|dreaded) = 50%	
P(word,|dreadful) = 25%	
P(day|dreadful) = 25%	
P(crime.|dreadful) = 25%	
P(scene|dreadful) = 25%	
P(the|dreading) = 100%	
P(of|dream) = 67%	
P(his|dream) = 33%	
P(originating|dream,) = 33%	
P(as|dream,) = 33%	
P(called|dream,) = 33%	
P(and|dream.) = 50%	
P(to|dream.) = 50%	
P(of|dreamed) = 50%	
P(that|dreamed) = 50%	
P(and|dreams) = 33%	
P(of|dreams) = 67%	
P(that|dreamt) = 100%	
P(waste|dreary) = 100%	
P(of|dress) = 50%	
P(as|dress) = 50%	
P(in|dressed) = 100%	
P(his|drew) = 23%	
P(off|drew) = 8%	
P(nigh|drew) = 8%	
P(into|drew) = 8%	
P(near,|drew) = 8%	
P(up|drew) = 8%	
P(down|drew) = 8%	
P(their|drew) = 8%	
P(the|drew) = 23%	
P(away|drifts) = 100%	
P(it|drink) = 50%	
P(for|drink) = 50%	
P(in,|drinking) = 100%	
P(at|drinking-bowl,) = 100%	
P(many|drive) = 20%	
P(away|drive) = 20%	
P(them|drive) = 20%	
P(thee|drive) = 20%	
P(out|drive) = 20%	
P(hither|driven) = 6%	
P(his|driven) = 6%	
P(from|driven) = 41%	
P(away|driven) = 6%	
P(back|driven) = 6%	
P(to|driven) = 6%	
P(the|driven) = 6%	
P(out,|driven) = 6%	
P(out|driven) = 18%	
P(but|driven;) = 100%	
P(of|driver) = 100%	
P(the|drives) = 100%	
P(them|driving) = 17%	
P(his|driving) = 17%	
P(off|driving) = 17%	
P(through|driving) = 17%	
P(the|driving) = 17%	
P(him|driving) = 17%	
P(mules,|dromedaries,) = 50%	
P(together|dromedaries,) = 50%	
P(spirits|drooping) = 100%	
P(of|drop) = 50%	
P(the|drop) = 50%	
P(and|drought) = 100%	
P(them|drove) = 18%	
P(sylvester|drove) = 9%	
P(ziyadat-allah,|drove) = 9%	
P(the|drove) = 27%	
P(him|drove) = 18%	
P(out|drove) = 18%	
P(when|drowned) = 100%	
P(by|drowned,) = 100%	
P(and|drums) = 100%	
P(and|drunk) = 100%	
P(but|drunkard.) = 100%	
P(land,|dry) = 33%	
P(at|dry) = 33%	
P(for|dry) = 33%	
P(your|dry,) = 100%	
P(mensonge_).|du) = 100%	
P(relation|dual) = 100%	
P(ireland.|dublin,) = 100%	
P(house.|ducal) = 20%	
P(throne.|ducal) = 20%	
P(crown|ducal) = 20%	
P(power|ducal) = 20%	
P(power.|ducal) = 20%	
P(was|duchess) = 100%	
P(and|duchies) = 50%	
P(of|duchies) = 50%	
P(of|duchy) = 33%	
P(carinthia|duchy) = 17%	
P(which|duchy) = 17%	
P(for|duchy) = 17%	
P(to|duchy) = 17%	
P(partly|due) = 6%	
P(to|due) = 25%	
P(course,|due) = 6%	
P(course|due) = 13%	
P(only|due) = 6%	
P(from|due) = 38%	
P(more|due) = 6%	
P(but|due,) = 100%	
P(associated|due.) = 100%	
P(than|duel) = 100%	
P(at|duelling-hrafn,) = 100%	
P(enchanted|duels,) = 100%	
P(of|dues) = 25%	
P(were|dues) = 25%	
P(upon|dues) = 25%	
P(to|dues) = 25%	
P(both|dug) = 25%	
P(them|dug) = 25%	
P(from|dug) = 25%	
P(up|dug) = 25%	
P(and|duke) = 1%	
P(spurred|duke) = 1%	
P(bent|duke) = 1%	
P(renaud,|duke) = 1%	
P(give|duke) = 1%	
P(edric.|duke) = 1%	
P(alfric,|duke) = 1%	
P(bore|duke) = 1%	
P(conrad,|duke) = 1%	
P(guelph|duke) = 1%	
P(said|duke) = 1%	
P(stood|duke) = 2%	
P(leading|duke) = 1%	
P(robert|duke) = 1%	
P(had|duke) = 2%	
P(robert,|duke) = 4%	
P(saw|duke) = 1%	
P(otto|duke) = 1%	
P(stephen|duke) = 1%	
P(employed|duke) = 1%	
P(has|duke) = 1%	
P(was|duke) = 5%	
P(arnulf|duke) = 1%	
P(that|duke) = 1%	
P(with|duke) = 1%	
P(took|duke) = 1%	
P(answered,|duke) = 1%	
P(william|duke) = 7%	
P(william's|duke) = 4%	
P(william,|duke) = 1%	
P(william.|duke) = 1%	
P(fortified|duke) = 1%	
P(changed|duke) = 1%	
P(called|duke) = 2%	
P(bade|duke) = 1%	
P(announced|duke) = 1%	
P(of|duke) = 38%	
P(or|duke) = 1%	
P(arrival,|duke's) = 33%	
P(having|duke's) = 33%	
P(blow.|duke's) = 33%	
P(and|duke,) = 38%	
P(whose|duke,) = 13%	
P(singing|duke,) = 13%	
P('i|duke,) = 13%	
P(he|duke,) = 25%	
P(see|duke.) = 33%	
P(the|duke.) = 67%	
P(of|dukedom) = 33%	
P(upon|dukedom) = 33%	
P(in|dukedom) = 33%	
P(and|dukedom,) = 100%	
P(almost|dukedoms) = 50%	
P(and|dukedoms) = 50%	
P(as|dukedoms,) = 100%	
P(for|dukedoms.) = 100%	
P(and|dukes) = 38%	
P(who|dukes) = 13%	
P(had|dukes) = 13%	
P(as|dukes) = 13%	
P(were|dukes) = 13%	
P(with|dukes) = 13%	
P(among|dukes,) = 25%	
P(abbots,|dukes,) = 25%	
P(grafs,|dukes,) = 25%	
P(he|dukes,) = 25%	
P(he|dukes.) = 100%	
P(the|dukes;) = 50%	
P(he|dukes;) = 50%	
P(prayed|duly) = 50%	
P(handed|duly) = 50%	
P(with|dumb) = 100%	
P(besiegers.|dumfounded) = 100%	
P(of|duncan,) = 50%	
P(whom|duncan,) = 50%	
P(for|dungeon) = 100%	
P(and|dungeon;) = 100%	
P(made|dunstan) = 100%	
P(of|duplication) = 100%	
P(of|duration) = 50%	
P(is|duration) = 50%	
P(and|duration,) = 100%	
P(was|durham) = 100%	
P(the|durham,) = 33%	
P(retained|durham,) = 33%	
P(in|durham,) = 33%	
P(all|durham.) = 50%	
P(durham|durham.) = 50%	
P(and|durham;) = 100%	
P(one|during) = 1%	
P(lent,|during) = 1%	
P(at|during) = 1%	
P(your|during) = 1%	
P(ludwig's|during) = 1%	
P(her|during) = 1%	
P(eleven|during) = 1%	
P(six|during) = 1%	
P(873|during) = 1%	
P(their|during) = 1%	
P(which|during) = 6%	
P(three|during) = 1%	
P(his|during) = 13%	
P(that|during) = 1%	
P(an|during) = 2%	
P(seventy|during) = 1%	
P(a|during) = 10%	
P(this|during) = 5%	
P(these|during) = 1%	
P(harvest,|during) = 1%	
P(the|during) = 45%	
P(life,|during) = 1%	
P(question|durst) = 100%	
P(to|durstadt) = 100%	
P(obscured|dust) = 50%	
P(by|dust) = 50%	
P(and|dust,) = 100%	
P(of|duties) = 64%	
P(as|duties) = 14%	
P(toward|duties) = 7%	
P(generally|duties) = 7%	
P(levied|duties) = 7%	
P(to|duties,) = 25%	
P(profits,|duties,) = 25%	
P(he|duties,) = 50%	
P(thereupon|duties.") = 100%	
P(of|duty) = 40%	
P(when|duty) = 10%	
P(it|duty) = 10%	
P(to|duty) = 30%	
P(levied|duty) = 10%	
P(the|duty,) = 100%	
P(the|duty.) = 100%	
P(but|duty;) = 100%	
P(a|dwell) = 20%	
P(there|dwell) = 40%	
P(together,|dwell) = 20%	
P(in|dwell) = 20%	
P(it|dwell;) = 100%	
P(in|dweller) = 100%	
P(on|dwellers) = 50%	
P(in|dwellers) = 50%	
P(with|dwelling) = 100%	
P(which|dwelling,) = 100%	
P(they|dwelling.) = 100%	
P(of|dwellings) = 100%	
P(but|dwellings,) = 100%	
P(on|dwells) = 100%	
P(amid|dwelt) = 25%	
P(at|dwelt) = 50%	
P(two|dwelt) = 25%	
P(with|dyed) = 100%	
P(a|dying) = 13%	
P(sovereign.|dying) = 13%	
P(hour,|dying) = 13%	
P(without|dying) = 13%	
P(couch,|dying) = 13%	
P(are|dying) = 13%	
P(in|dying) = 13%	
P(might|dying) = 13%	
P(charles|dying,) = 50%	
P(furiously|dying,) = 50%	
P(and|dying;) = 100%	
P((a.d.|dynasties) = 100%	
P(of|dynasty) = 17%	
P(as|dynasty) = 17%	
P(that|dynasty) = 17%	
P(thus|dynasty) = 17%	
P(in|dynasty) = 33%	
P(founded|dynasty,) = 20%	
P(and,|dynasty,) = 20%	
P(the|dynasty,) = 20%	
P(who|dynasty,) = 20%	
P(to|dynasty,) = 20%	
P(from|dynasty.) = 100%	
P(the|dynasty;) = 100%	
P((durazzo),|dyrrhachium) = 100%	
P(within|e-mail)) = 100%	
P(prepared|e-text) = 100%	
P(darras|e.) = 100%	
P(bearing|each) = 1%	
P(knight's|each) = 1%	
P(hand,|each) = 1%	
P(bound|each) = 1%	
P(an|each) = 1%	
P(county|each) = 1%	
P(in|each) = 1%	
P(vessel|each) = 1%	
P(man's|each) = 1%	
P(armed|each) = 1%	
P(their|each) = 1%	
P(other;|each) = 1%	
P(little|each) = 1%	
P(said|each) = 1%	
P(religion|each) = 1%	
P(with|each) = 3%	
P(claiming|each) = 3%	
P(district,|each) = 1%	
P(other,|each) = 4%	
P(other|each) = 9%	
P(under|each) = 1%	
P(party|each) = 1%	
P(other's|each) = 1%	
P(might|each) = 1%	
P(troop|each) = 1%	
P(case|each) = 3%	
P(door|each) = 1%	
P(ranged|each) = 1%	
P(company|each) = 1%	
P(ebook|each) = 1%	
P(band|each) = 1%	
P(five|each) = 1%	
P(date|each) = 1%	
P(one|each) = 1%	
P(effort|each) = 1%	
P(man|each) = 4%	
P(a|each) = 1%	
P(hour|each) = 1%	
P(of|each) = 13%	
P(against|each) = 1%	
P(side|each) = 4%	
P(lesser|each) = 1%	
P(sub-tenant|each) = 1%	
P(way,|each) = 1%	
P(town,|each) = 1%	
P(distinguished|each) = 1%	
P(block|each) = 1%	
P(the|eadburgha,) = 100%	
P(the|eadburgha.) = 100%	
P(sister|eadgith,) = 100%	
P(and|eadred--devout) = 100%	
P(also|eager) = 11%	
P(ambition.|eager) = 11%	
P(eyes|eager) = 11%	
P(for|eager) = 33%	
P(to|eager) = 33%	
P(seized|eagerly) = 17%	
P(embarked|eagerly) = 17%	
P(to|eagerly) = 17%	
P(grasped|eagerly) = 17%	
P(sought|eagerly) = 17%	
P(left|eagerly) = 17%	
P(some|eagerly.) = 100%	
P(to|eagerness) = 100%	
P(playing|ealdhelm) = 100%	
P(or|ealdorman) = 100%	
P(and|ealdorman,) = 100%	
P(over|ealdorman[23]) = 100%	
P(and|ealdormen,) = 100%	
P(to|ear) = 100%	
P(and|ear;) = 100%	
P(and|eardulf) = 100%	
P(and|earl) = 2%	
P(godwin.|earl) = 2%	
P(godwin,|earl) = 2%	
P(roger|earl) = 2%	
P(robert|earl) = 2%	
P(of|earl) = 64%	
P(millent,|earl) = 2%	
P(had|earl) = 2%	
P(tostig,|earl) = 2%	
P(william|earl) = 2%	
P(hugh,|earl) = 2%	
P(became|earl) = 2%	
P(crossed|earl) = 2%	
P(paling|earl) = 2%	
P(godwin;|earl) = 2%	
P(or|earl) = 4%	
P(died|earl) = 2%	
P(authority.|earl's) = 100%	
P(stephen|earl.) = 50%	
P(in|earl.) = 50%	
P(subsequently,|earl;) = 100%	
P(of|earldom) = 100%	
P(of|earldoms) = 25%	
P(at|earldoms) = 50%	
P(in|earldoms) = 25%	
P((1065),|earlier) = 13%	
P(times|earlier) = 25%	
P(days.|earlier) = 13%	
P(part|earlier) = 13%	
P(in|earlier) = 13%	
P(date|earlier) = 13%	
P(than|earlier) = 13%	
P(and|earliest) = 17%	
P(of|earliest) = 17%	
P(times|earliest) = 17%	
P(time|earliest) = 17%	
P(treaty|earliest) = 17%	
P(information,|earliest) = 17%	
P(and|earls) = 11%	
P(that|earls) = 11%	
P(edwin|earls) = 11%	
P(in|earls) = 22%	
P(as|earls) = 11%	
P(were|earls) = 22%	
P(swore|earls) = 11%	
P(barons,|earls,) = 50%	
P(after|earls,) = 25%	
P(thegns|earls,) = 25%	
P(the|earls.) = 100%	
P(and|earls;) = 50%	
P(but|earls;) = 50%	
P(and|early) = 5%	
P(chivalry.|early) = 3%	
P(emperors|early) = 3%	
P(as|early) = 28%	
P(growth|early) = 3%	
P(times,|early) = 3%	
P(enclosed|early) = 3%	
P(in|early) = 5%	
P(occupied|early) = 3%	
P(goths|early) = 3%	
P(winter|early) = 3%	
P(was|early) = 3%	
P(norman|early) = 8%	
P(days,|early) = 3%	
P(part|early) = 3%	
P(they|early) = 3%	
P(heroes|early) = 3%	
P(one|early) = 3%	
P(bishops|early) = 3%	
P(coalition|early) = 3%	
P(times|early) = 5%	
P(greek|early) = 3%	
P(rome|early) = 3%	
P(came|early) = 3%	
P(times."|early) = 3%	
P(his|earn) = 100%	
P(and|earnest) = 50%	
P(expectation--his|earnest) = 25%	
P(votaries,|earnest) = 25%	
P(believed|earnestly) = 20%	
P(to|earnestly) = 40%	
P(for|earnestly) = 20%	
P(incited|earnestly) = 20%	
P(that|earnestly,) = 100%	
P(they|earnestness) = 100%	
P(of|ears) = 100%	
P(and|earth) = 43%	
P(i|earth) = 14%	
P(the|earth) = 14%	
P(would|earth) = 14%	
P(such|earth) = 14%	
P(much|earth'?) = 100%	
P(well-born|earth's) = 50%	
P(remotest|earth's) = 50%	
P(and|earth,) = 50%	
P(as|earth,) = 17%	
P(from|earth,) = 17%	
P(look|earth,) = 17%	
P(i|earth.) = 33%	
P(now,|earth.) = 33%	
P(he|earth.) = 33%	
P(riches,|earthly) = 25%	
P(leader|earthly) = 25%	
P(diadem|earthly) = 25%	
P(jerusalem;|earthly) = 25%	
P(added|earthquake) = 50%	
P(in|earthquake) = 50%	
P(and|earthquake,) = 100%	
P(and|earthworks) = 33%	
P(on|earthworks) = 33%	
P(round|earthworks) = 33%	
P(and|earthworks,) = 50%	
P(which|earthworks,) = 50%	
P(but|earthworks.) = 100%	
P(into|ease) = 50%	
P(too|ease) = 50%	
P(he|ease,) = 100%	
P(and|easier) = 29%	
P(to|easier) = 29%	
P(interests:|easier) = 14%	
P(prey|easier) = 14%	
P(for|easier) = 14%	
P(impressed|easily) = 9%	
P(explained.|easily) = 9%	
P(assume.|easily) = 9%	
P(recognize|easily) = 9%	
P(navigable|easily) = 9%	
P(reach|easily) = 9%	
P(repulsed|easily) = 9%	
P(have|easily) = 9%	
P(repressed,|easily) = 9%	
P(comply|easily) = 9%	
P(conjecture,|easily) = 9%	
P(as|easily.) = 100%	
P(and|east) = 18%	
P(anglia|east) = 18%	
P(frankland|east) = 3%	
P(for|east) = 3%	
P(was|east) = 6%	
P(of|east) = 15%	
P(into|east) = 3%	
P(frank,|east) = 3%	
P(ceased|east) = 3%	
P(as|east) = 3%	
P(somerset,|east) = 3%	
P(preferred|east) = 3%	
P(in|east) = 6%	
P(anglia,|east) = 3%	
P(flock|east) = 3%	
P(still|east) = 3%	
P(excommunicated|east) = 3%	
P(anglia--for|east) = 3%	
P(had|east,) = 18%	
P(but|east,) = 9%	
P(to|east,) = 27%	
P(murdered|east,) = 9%	
P(in|east,) = 9%	
P(the|east,) = 9%	
P(where|east,) = 9%	
P(however,|east,) = 9%	
P(toward|east.) = 50%	
P(united|east.) = 50%	
P(and|east;) = 100%	
P(services|easter) = 33%	
P(it|easter) = 33%	
P(holidays|easter) = 33%	
P(a|easter,) = 25%	
P(and|easter,) = 25%	
P(the|easter,) = 25%	
P(when|easter,) = 25%	
P(these|easter.) = 100%	
P(and|eastern) = 7%	
P(slavi,|eastern) = 2%	
P(emperors|eastern) = 2%	
P(france.|eastern) = 2%	
P(church|eastern) = 19%	
P(empire|eastern) = 7%	
P(belt|eastern) = 2%	
P(from|eastern) = 2%	
P(counties.|eastern) = 2%	
P(kingdom.|eastern) = 2%	
P(caliphate|eastern) = 2%	
P(boundary|eastern) = 2%	
P(portion,|eastern) = 2%	
P(coast|eastern) = 5%	
P(monachism|eastern) = 2%	
P(church,|eastern) = 5%	
P(church.|eastern) = 5%	
P(emperor|eastern) = 5%	
P(emperor.|eastern) = 2%	
P(side|eastern) = 5%	
P(europe,|eastern) = 2%	
P(europe.|eastern) = 2%	
P(empire.|eastern) = 2%	
P(empire,|eastern) = 7%	
P(greek|eastern--or) = 100%	
P(had|easterns) = 100%	
P(with|eastward) = 25%	
P(of|eastward) = 25%	
P(journey.|eastward) = 25%	
P(march|eastward) = 25%	
P(and|eastward,) = 50%	
P(saw|eastward,) = 50%	
P(plunder|easy) = 9%	
P(enough|easy) = 9%	
P(prey|easy) = 9%	
P(to|easy) = 73%	
P(you|easy.) = 50%	
P(swords|easy.) = 50%	
P(their|eat) = 100%	
P(eadburgha|eat.) = 100%	
P(in|eaten) = 100%	
P(of|eaten.) = 100%	
P(tide.|ebb) = 100%	
P(archbishop|ebbo,) = 100%	
P(and|eberhard) = 33%	
P(obeyed|eberhard) = 33%	
P(to|eberhard) = 33%	
P(the|eberhard,) = 100%	
P(number,|ebook) = 9%	
P(for|ebook) = 9%	
P(of|ebook) = 9%	
P(is|ebook) = 27%	
P(numbers|ebook) = 9%	
P(the|ebook) = 18%	
P(or|ebook) = 18%	
P(complying|ebook,) = 50%	
P(the|ebook,) = 50%	
P(directly,|ebooks) = 13%	
P(replace|ebooks) = 13%	
P(are|ebooks) = 13%	
P(in|ebooks) = 13%	
P(receiving|ebooks) = 13%	
P(with|ebooks) = 13%	
P(posted|ebooks) = 25%	
P(and|ebooks,) = 50%	
P(unless|ebooks,) = 50%	
P(redistribution|ebooks.) = 100%	
P(was|ecclesiast) = 100%	
P(in|ecclesiastic) = 100%	
P(desire|ecclesiastical) = 5%	
P(excommunication|ecclesiastical) = 5%	
P(power|ecclesiastical) = 5%	
P(matters|ecclesiastical) = 5%	
P(rights,|ecclesiastical) = 5%	
P(question,|ecclesiastical) = 5%	
P(tyrannies.|ecclesiastical) = 5%	
P(practice.|ecclesiastical) = 5%	
P(dignities|ecclesiastical) = 5%	
P(communion,|ecclesiastical) = 5%	
P(dignities,|ecclesiastical) = 5%	
P(discipline."|ecclesiastical) = 5%	
P(council|ecclesiastical) = 10%	
P(laws,|ecclesiastical) = 5%	
P(world,|ecclesiastical) = 5%	
P(life,|ecclesiastical) = 5%	
P(monarch.|ecclesiastical) = 5%	
P(architecture;|ecclesiastical) = 5%	
P(bodies|ecclesiastical) = 5%	
P(jurisdiction--over|ecclesiastical) = 5%	
P(and|ecclesiastical,) = 100%	
P(and|ecclesiastical;) = 100%	
P(and|ecclesiastics) = 40%	
P(with|ecclesiastics) = 20%	
P(were|ecclesiastics) = 40%	
P(and|ecclesiastics,) = 33%	
P(and,|ecclesiastics,) = 33%	
P(from|ecclesiastics,) = 33%	
P(on|ecclesiastics.) = 100%	
P(in|echo) = 100%	
P(by|eclipsed) = 100%	
P(the|eclipsing) = 100%	
P(of|economy) = 100%	
P(of|ecstasy) = 100%	
P(glittering|ecstasy,) = 100%	
P(adoration.|ecstatic) = 100%	
P(or|ecumenical) = 100%	
P(see|eddington.) = 100%	
P(before|eden) = 100%	
P(of|edessa) = 50%	
P(by|edessa) = 50%	
P(turkey,|edessa,) = 50%	
P(the|edessa,) = 50%	
P(as|edessa.) = 50%	
P(his|edessa.) = 50%	
P(bohemond|edessa;) = 100%	
P(in|edessenes) = 100%	
P(sensible|edgar,) = 25%	
P(son|edgar,) = 25%	
P(england,|edgar,) = 25%	
P(atheling,|edgar,) = 25%	
P(of|edge) = 100%	
P(into|edge,) = 50%	
P(are|edge,) = 50%	
P(out|edged) = 100%	
P(with|edifice) = 20%	
P(as|edifice) = 20%	
P(now|edifice) = 20%	
P(was|edifice) = 20%	
P(or|edifice) = 20%	
P(the|edifice,) = 50%	
P(it|edifice,) = 50%	
P(rise|edifices) = 100%	
P(a|edington,) = 100%	
P(he|edington.) = 100%	
P(by|edited) = 100%	
P(surnamed|edith,) = 100%	
P(of|edition) = 100%	
P(will|editions) = 33%	
P(of|editions) = 33%	
P(means|editions) = 33%	
P(all|editions,) = 100%	
P(for|editor) = 100%	
P(a|edmere,) = 100%	
P(and|edmund) = 27%	
P(succeeds|edmund) = 9%	
P(of|edmund) = 9%	
P(["ironside"],|edmund) = 9%	
P("ironside."|edmund) = 9%	
P(found|edmund) = 9%	
P("ironsides,"|edmund) = 9%	
P(was|edmund) = 18%	
P(death,|edmund's) = 25%	
P(brother|edmund's) = 25%	
P(country,|edmund's) = 25%	
P(children|edmund's) = 25%	
P(and|edmund,) = 9%	
P(titular|edmund,) = 9%	
P(deprived|edmund,) = 9%	
P(could|edmund,) = 9%	
P(who|edmund,) = 27%	
P(however,|edmund,) = 9%	
P(fixed|edmund,) = 9%	
P(observing|edmund,) = 9%	
P(the|edmund,) = 9%	
P(this|edmund.) = 33%	
P(yet|edmund.) = 33%	
P(if|edmund.) = 33%	
P(frustrated|edric) = 20%	
P(of|edric) = 20%	
P(now|edric) = 20%	
P(allured|edric) = 20%	
P(had|edric) = 20%	
P(a|edric,) = 14%	
P(earl|edric,) = 14%	
P(who|edric,) = 14%	
P(flying|edric,) = 14%	
P(notwithstanding|edric,) = 14%	
P(having|edric,) = 29%	
P(the|edric.) = 50%	
P(fortune,|edric.) = 50%	
P(to|educated) = 33%	
P(at|educated) = 33%	
P(in|educated) = 33%	
P(and|educated,) = 100%	
P(and|education) = 25%	
P(of|education) = 75%	
P(the|education.) = 100%	
P(corporation|educational) = 50%	
P(efforts.|educational) = 50%	
P(and|edward) = 10%	
P(shepherd|edward) = 5%	
P(i|edward) = 5%	
P(s.|edward) = 5%	
P(iii.|edward) = 5%	
P(the|edward) = 71%	
P(time,|edward's) = 50%	
P(death.|edward's) = 50%	
P(a|edward,) = 20%	
P(were,|edward,) = 20%	
P(the|edward,) = 40%	
P(who|edward,) = 20%	
P(richard|edward.) = 100%	
P(and|edwin) = 100%	
P(morcar,|edwin,) = 50%	
P(was|edwin,) = 50%	
P(is|edwold) = 100%	
P(whom|edwy,) = 100%	
P(are|eels) = 100%	
P(himself|efface) = 100%	
P(turned|effaced,) = 100%	
P(a|effect) = 7%	
P(on|effect) = 21%	
P(that|effect) = 7%	
P(of|effect) = 36%	
P(is|effect) = 7%	
P(to|effect) = 7%	
P(such|effect) = 7%	
P(he|effect) = 7%	
P(it|effect,) = 33%	
P(which|effect,) = 33%	
P(wild,|effect,) = 33%	
P(the|effect.) = 50%	
P(he|effect.) = 50%	
P(without|effected) = 17%	
P(between|effected) = 17%	
P(by|effected) = 50%	
P(an|effected) = 17%	
P(an|effecting) = 100%	
P(these|effective) = 50%	
P(command.|effective) = 50%	
P(far|effects) = 17%	
P(of|effects) = 50%	
P(than|effects) = 17%	
P(in|effects) = 17%	
P(with|effects.) = 100%	
P(measures|effectual) = 100%	
P(as|effeminacy,) = 100%	
P(and|effeminate) = 100%	
P(of|efficiency) = 100%	
P(to|effort) = 40%	
P(behind|effort) = 20%	
P(his|effort) = 20%	
P(the|effort) = 20%	
P(much|effort,) = 25%	
P(stupefied|effort,) = 25%	
P(if|effort,) = 25%	
P(he|effort,) = 25%	
P("it|effort.) = 100%	
P(so|effort;) = 100%	
P(and|efforts) = 6%	
P(for|efforts) = 6%	
P(of|efforts) = 38%	
P(were|efforts) = 6%	
P(had|efforts) = 6%	
P(to|efforts) = 19%	
P(in|efforts) = 6%	
P(during|efforts) = 6%	
P(the|efforts) = 6%	
P(and|efforts,) = 50%	
P(project|efforts,) = 50%	
P(the|efforts.) = 50%	
P(they|efforts.) = 50%	
P(with|efforts;) = 100%	
P(as|egbert) = 50%	
P(or|egbert) = 50%	
P(stone|egbert's) = 33%	
P(reign|egbert's) = 33%	
P(stone--probably|egbert's) = 33%	
